genus,genome
Pleurotus,GCA_000697685.1_PleosPC15_2_cds_from_genomic.fna.gz
Pleurotus,GCA_005298045.1_ASM529804v1_cds_from_genomic.fna.gz
Pleurotus,GCA_012979565.1_PM_ss13_v1_cds_from_genomic.fna.gz
Pleurotus,GCA_012980525.1_ASM1298052v1_cds_from_genomic.fna.gz
Pleurotus,GCA_012980535.1_ASM1298053v1_cds_from_genomic.fna.gz
Pleurotus,GCA_015484515.1_Pleery1_cds_from_genomic.fna.gz
Pleurotus,GCA_019677325.2_ASM1967732v2_cds_from_genomic.fna.gz
Pleurotus,GCA_029747585.1_Pleurotus_djamor_reassembly_enz_cds_from_genomic.fna.gz
Pleurotus,GCA_029852705.2_AS_PC9.15_cds_from_genomic.fna.gz
Pleurotus,GCF_014466165.1_ASM1446616v1_cds_from_genomic.fna.gz
