genus,genome
Ophiocordyceps,GCA_000448365.1_ASM44836v1_cds_from_genomic.fna.gz
Ophiocordyceps,GCA_001272575.2_ASM127257v2_cds_from_genomic.fna.gz
Ophiocordyceps,GCA_001633055.2_OPF_BCC54312_improved_cds_from_genomic.fna.gz
Ophiocordyceps,GCA_002591395.1_Ophun1_cds_from_genomic.fna.gz
Ophiocordyceps,GCA_002591405.1_OphauG2_cds_from_genomic.fna.gz
Ophiocordyceps,GCA_002591415.1_OphauB2_cds_from_genomic.fna.gz
Ophiocordyceps,GCA_003339415.1_ASM333941v1_cds_from_genomic.fna.gz
Ophiocordyceps,GCA_003339455.1_ASM333945v1_cds_from_genomic.fna.gz
Ophiocordyceps,GCA_012934285.1_ASM1293428v1_cds_from_genomic.fna.gz
Ophiocordyceps,GCA_012980515.1_Ophcf2_cds_from_genomic.fna.gz
