genus,genome
Termitomyces,GCA_001263195.1_TerJ1321.0_cds_from_genomic.fna.gz
Termitomyces,GCA_017607575.1_ASM1760757v1_cds_from_genomic.fna.gz
Termitomyces,GCA_018296085.1_ASM1829608v1_cds_from_genomic.fna.gz
Termitomyces,GCA_018857265.1_ASM1885726v1_cds_from_genomic.fna.gz
Termitomyces,GCA_018857285.1_ASM1885728v1_cds_from_genomic.fna.gz
Termitomyces,GCA_018857305.1_ASM1885730v1_cds_from_genomic.fna.gz
Termitomyces,GCA_020091625.1_ASM2009162v1_cds_from_genomic.fna.gz
