genus,genome
Cordyceps,GCA_002591385.1_Hirsu2_cds_from_genomic.fna.gz
Cordyceps,GCA_006981975.1_ASM698197v1_cds_from_genomic.fna.gz
Cordyceps,GCA_006981985.1_ASM698198v1_cds_from_genomic.fna.gz
Cordyceps,GCA_008080495.1_ASM808049v1_cds_from_genomic.fna.gz
Cordyceps,GCF_000225605.1_CmilitarisCM01_v01_cds_from_genomic.fna.gz
Cordyceps,GCF_001636725.1_ISF_1.0_cds_from_genomic.fna.gz
