genus,genome
Amanita,GCA_000827485.1_Amanita_muscaria_Koide_BX008_v1.0_cds_from_genomic.fna.gz
Amanita,GCA_001691755.2_ASM169175v2_cds_from_genomic.fna.gz
Amanita,GCA_001691775.3_ASM169177v3_cds_from_genomic.fna.gz
Amanita,GCA_001691785.3_ASM169178v3_cds_from_genomic.fna.gz
Amanita,GCA_002554575.1_Amanita_thiersii_v1.0_cds_from_genomic.fna.gz
Amanita,GCA_015039365.1_Amarub1_cds_from_genomic.fna.gz
