genus,genome
Psilocybe,GCA_002938375.1_Psicy2_cds_from_genomic.fna.gz
Psilocybe,GCA_013368295.1_LU_PSS_1.0_cds_from_genomic.fna.gz
Psilocybe,GCA_017499595.2_MGC_Penvy_1_cds_from_genomic.fna.gz
Psilocybe,GCF_017499595.1_MGC_Penvy_1_cds_from_genomic.fna.gz
